"Step","longattn-seperated - grouped_lm_loss/decade_0","longattn-seperated - grouped_lm_loss/decade_0__MIN","longattn-seperated - grouped_lm_loss/decade_0__MAX","longattn-seperated - grouped_lm_loss/decade_6","longattn-seperated - grouped_lm_loss/decade_6__MIN","longattn-seperated - grouped_lm_loss/decade_6__MAX","longattn-no-muon - grouped_lm_loss/decade_0","longattn-no-muon - grouped_lm_loss/decade_0__MIN","longattn-no-muon - grouped_lm_loss/decade_0__MAX","longattn-no-muon - grouped_lm_loss/decade_6","longattn-no-muon - grouped_lm_loss/decade_6__MIN","longattn-no-muon - grouped_lm_loss/decade_6__MAX","longattn - grouped_lm_loss/decade_0","longattn - grouped_lm_loss/decade_0__MIN","longattn - grouped_lm_loss/decade_0__MAX","longattn - grouped_lm_loss/decade_6","longattn - grouped_lm_loss/decade_6__MIN","longattn - grouped_lm_loss/decade_6__MAX"
"38","1.6391825675964355","1.6391825675964355","1.6391825675964355","1.2925373315811157","1.2925373315811157","1.2925373315811157","1.6483154164420233","1.6483154164420233","1.6483154164420233","1.3369732201099396","1.3369732201099396","1.3369732201099396","1.639092379146152","1.639092379146152","1.639092379146152","1.2894785106182098","1.2894785106182098","1.2894785106182098"
"39","1.7081811163160536","1.7081811163160536","1.7081811163160536","1.4246465265750885","1.4246465265750885","1.4246465265750885","1.7151522503958807","1.7151522503958807","1.7151522503958807","1.4667747020721436","1.4667747020721436","1.4667747020721436","1.7119571500354342","1.7119571500354342","1.7119571500354342","1.423375129699707","1.423375129699707","1.423375129699707"
"40","1.8251130051083035","1.8251130051083035","1.8251130051083035","1.4185131788253784","1.4185131788253784","1.4185131788253784","1.829778750737508","1.829778750737508","1.829778750737508","1.4586451053619385","1.4586451053619385","1.4586451053619385","1.8266889386706882","1.8266889386706882","1.8266889386706882","1.4156627357006073","1.4156627357006073","1.4156627357006073"
"41","1.9661574363708496","1.9661574363708496","1.9661574363708496","1.5243979096412659","1.5243979096412659","1.5243979096412659","1.97570886876848","1.97570886876848","1.97570886876848","1.5692459642887115","1.5692459642887115","1.5692459642887115","1.9700378709369235","1.9700378709369235","1.9700378709369235","1.523920089006424","1.523920089006424","1.523920089006424"
"42","2.0039173894458346","2.0039173894458346","2.0039173894458346","1.6610297858715057","1.6610297858715057","1.6610297858715057","2.0131420956717596","2.0131420956717596","2.0131420956717596","1.7087619602680206","1.7087619602680206","1.7087619602680206","2.0069090525309243","2.0069090525309243","2.0069090525309243","1.6605340838432312","1.6605340838432312","1.6605340838432312"
"43","1.8632105853822496","1.8632105853822496","1.8632105853822496","1.588865876197815","1.588865876197815","1.588865876197815","1.8741390175289578","1.8741390175289578","1.8741390175289578","1.6294615864753723","1.6294615864753723","1.6294615864753723","1.8647929297553167","1.8647929297553167","1.8647929297553167","1.587523490190506","1.587523490190506","1.587523490190506"
"44","1.8497746520572238","1.8497746520572238","1.8497746520572238","1.3432364761829376","1.3432364761829376","1.3432364761829376","1.8581702179378934","1.8581702179378934","1.8581702179378934","1.3778747022151947","1.3778747022151947","1.3778747022151947","1.8487433460023668","1.8487433460023668","1.8487433460023668","1.3412437736988068","1.3412437736988068","1.3412437736988068"
"45","1.685950173272027","1.685950173272027","1.685950173272027","1.264508694410324","1.264508694410324","1.264508694410324","1.694910208384196","1.694910208384196","1.694910208384196","1.2983405590057373","1.2983405590057373","1.2983405590057373","1.686947570906745","1.686947570906745","1.686947570906745","1.264094054698944","1.264094054698944","1.264094054698944"
"46","1.9041591220431857","1.9041591220431857","1.9041591220431857","1.6440231800079346","1.6440231800079346","1.6440231800079346","1.913598934809367","1.913598934809367","1.913598934809367","1.6848231554031372","1.6848231554031372","1.6848231554031372","1.9061728186077542","1.9061728186077542","1.9061728186077542","1.6430025100708008","1.6430025100708008","1.6430025100708008"
"47","1.7262135876549616","1.7262135876549616","1.7262135876549616","1.5331576466560364","1.5331576466560364","1.5331576466560364","1.735861513349745","1.735861513349745","1.735861513349745","1.5923904478549957","1.5923904478549957","1.5923904478549957","1.7296814521153767","1.7296814521153767","1.7296814521153767","1.5331260561943054","1.5331260561943054","1.5331260561943054"
