"Step","longattn-fo-grad - loss","longattn-fo-grad - loss__MIN","longattn-fo-grad - loss__MAX","longattn-aux-v2 - loss","longattn-aux-v2 - loss__MIN","longattn-aux-v2 - loss__MAX","longattn-seperated - loss","longattn-seperated - loss__MIN","longattn-seperated - loss__MAX","longattn-no-muon - loss","longattn-no-muon - loss__MIN","longattn-no-muon - loss__MAX"
"29","1.5010489970445633","1.5010489970445633","1.5010489970445633","1.4823732636868954","1.4823732636868954","1.4823732636868954","1.4731163699179888","1.4731163699179888","1.4731163699179888","1.5059377886354923","1.5059377886354923","1.5059377886354923"
"30","1.65244410187006","1.65244410187006","1.65244410187006","1.6440973412245512","1.6440973412245512","1.6440973412245512","1.6366961672902107","1.6366961672902107","1.6366961672902107","1.665859067812562","1.665859067812562","1.665859067812562"
"31","1.9694303274154663","1.9694303274154663","1.9694303274154663","1.9638224132359028","1.9638224132359028","1.9638224132359028","1.954679248854518","1.954679248854518","1.954679248854518","1.989258449524641","1.989258449524641","1.989258449524641"
"32","1.588617393746972","1.588617393746972","1.588617393746972","1.5768100563436747","1.5768100563436747","1.5768100563436747","1.5659075677394867","1.5659075677394867","1.5659075677394867","1.5887563209980726","1.5887563209980726","1.5887563209980726"
"33","1.7342531643807888","1.7342531643807888","1.7342531643807888","1.719230204820633","1.719230204820633","1.719230204820633","1.7102141380310059","1.7102141380310059","1.7102141380310059","1.741988893598318","1.741988893598318","1.741988893598318"
"34","1.8618918973952532","1.8618918973952532","1.8618918973952532","1.843097560107708","1.843097560107708","1.843097560107708","1.834253842011094","1.834253842011094","1.834253842011094","1.8612091820687056","1.8612091820687056","1.8612091820687056"
"35","1.565687395632267","1.565687395632267","1.565687395632267","1.5513477381318808","1.5513477381318808","1.5513477381318808","1.543172674253583","1.543172674253583","1.543172674253583","1.5728661008179188","1.5728661008179188","1.5728661008179188"
"36","1.9324020687490702","1.9324020687490702","1.9324020687490702","1.921858325600624","1.921858325600624","1.921858325600624","1.9117357078939676","1.9117357078939676","1.9117357078939676","1.941767793148756","1.941767793148756","1.941767793148756"
"37","1.5610686168074608","1.5610686168074608","1.5610686168074608","1.552920749410987","1.552920749410987","1.552920749410987","1.5436465553939342","1.5436465553939342","1.5436465553939342","1.5683080237358809","1.5683080237358809","1.5683080237358809"
"38","1.4948028065264225","1.4948028065264225","1.4948028065264225","1.480357764288783","1.480357764288783","1.480357764288783","1.4715432934463024","1.4715432934463024","1.4715432934463024","1.5001201462000608","1.5001201462000608","1.5001201462000608"
